frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
0,0,10.1457,22.3114,26.3289,3.0077,0
1,1,25.3719,34.3053,37.2953,2.6912,0
1,0,25.3719,34.3053,43.9132,0.0431,0
2,1,37.3849,44.4593,44.7484,0.1151,0
2,0,37.3849,44.4593,50.5779,0.0454,0
3,1,44.8121,52.1136,52.3920,0.1043,0
3,0,44.8121,52.1136,58.0940,0.1662,0
4,1,52.5810,59.6013,59.8939,0.1126,0
4,0,52.5810,59.6013,65.3518,0.0379,0
5,1,59.9610,67.8020,68.1211,0.1213,0
5,0,59.9610,67.8020,73.4193,0.0434,0
6,1,68.1831,74.8806,75.2327,0.1715,0
6,0,68.1831,74.8806,80.4158,0.0527,0
7,1,75.3101,81.4650,81.7513,0.1153,0
7,0,75.3101,81.4650,86.6872,0.0410,0
8,1,81.8104,88.1099,88.4514,0.1049,0
8,0,81.8104,88.1099,93.2618,0.1779,0
9,1,88.6499,95.9233,96.2186,0.1137,0
9,0,88.6499,95.9233,100.8828,0.0402,0
10,1,96.2802,103.5470,103.8496,0.1161,0
10,0,96.2802,103.5470,108.4443,0.0376,0
11,1,103.9046,110.1832,110.6389,0.1217,0
11,0,103.9046,110.1832,115.1480,0.0558,0
12,1,110.7186,117.8596,118.1721,0.1165,0
12,0,110.7186,117.8596,122.5787,0.0440,0
13,1,118.2349,124.9909,125.5538,0.2883,0
13,0,118.2349,124.9909,129.8491,0.0430,0
14,1,125.6177,132.6191,132.9596,0.1553,0
14,0,125.6177,132.6191,137.2079,0.0387,0
15,1,133.0191,139.9950,140.2945,0.1142,0
15,0,133.0191,139.9950,144.4569,0.0365,0
16,1,140.3508,146.5337,146.9174,0.1280,0
16,0,140.3508,146.5337,151.0126,0.1562,0
17,1,147.0922,154.3131,154.6159,0.1178,0
17,0,147.0922,154.3131,158.6520,0.0419,0
18,1,154.6770,161.0460,161.3597,0.1152,0
18,0,154.6770,161.0460,165.3270,0.1729,0
19,1,161.5514,169.0616,169.3765,0.1178,0
19,0,161.5514,169.0616,173.3528,0.0422,0
20,1,169.4456,176.2796,176.5813,0.1163,0
20,0,169.4456,176.2796,180.5018,0.0439,0
21,1,176.6450,183.3988,183.7833,0.1501,0
21,0,176.6450,183.3988,187.7341,0.0793,0
22,1,183.9792,190.6486,190.9490,0.1169,0
22,0,183.9792,190.6486,194.8207,0.1056,0
23,1,191.0963,198.6170,198.9511,0.1226,0
23,0,191.0963,198.6170,202.8265,0.0437,0
24,1,199.0151,205.5606,206.1287,0.2902,0
24,0,199.0151,205.5606,209.9390,0.0386,0
25,1,206.1887,212.9074,213.3177,0.1165,0
25,0,206.1887,212.9074,217.2054,0.0519,0
26,1,213.3933,220.1780,220.4765,0.1165,0
26,0,213.3933,220.1780,224.2217,0.0429,0
27,1,220.5376,226.7629,227.1011,0.1196,0
27,0,220.5376,226.7629,230.9463,0.0405,0
28,1,227.1694,234.7797,235.0841,0.1170,0
28,0,227.1694,234.7797,238.8074,0.0418,0
29,1,235.1455,242.2690,242.5783,0.1135,0
29,0,235.1455,242.2690,246.3276,0.0437,0
30,1,242.6427,249.2982,249.6515,0.1678,0
30,0,242.6427,249.2982,253.3692,0.0464,0
31,1,249.7219,256.6284,256.9335,0.1144,0
31,0,249.7219,256.6284,260.6163,0.0375,0
32,1,256.9912,263.3363,263.6702,0.1077,0
32,0,256.9912,263.3363,267.3847,0.3291,0
33,1,264.0258,271.1860,271.5207,0.1211,0
33,0,264.0258,271.1860,275.1842,0.0917,0
34,1,271.6401,278.6229,278.9385,0.1207,0
34,0,271.6401,278.6229,282.6012,0.0419,0
35,1,278.9997,285.1736,285.5113,0.1283,0
35,0,278.9997,285.1736,289.1658,0.0431,0
36,1,285.5721,292.6422,292.9537,0.1221,0
36,0,285.5721,292.6422,296.6215,0.0382,0
37,1,293.0135,299.5409,300.0540,0.2994,0
37,0,293.0135,299.5409,303.6646,0.0587,0
38,1,300.1323,307.0366,307.3897,0.1181,0
38,0,300.1323,307.0366,311.0477,0.0450,0
39,1,307.4524,313.9512,314.2810,0.1279,0
39,0,307.4524,313.9512,317.8515,0.1874,0
40,1,314.4917,321.2076,321.5391,0.1216,0
40,0,314.4917,321.2076,325.2349,0.1114,0
41,1,321.6935,328.5473,328.8520,0.1215,0
41,0,321.6935,328.5473,332.4183,0.0413,0
42,1,328.9117,335.8530,336.1897,0.1209,0
42,0,328.9117,335.8530,339.7604,0.0436,0
43,1,336.2505,342.9471,343.2991,0.1163,0
43,0,336.2505,342.9471,346.8796,0.0475,0
44,1,343.3711,349.8316,350.1805,0.1666,0
44,0,343.3711,349.8316,353.7300,0.0406,0
45,1,350.2609,357.4201,357.7604,0.1126,0
45,0,350.2609,357.4201,361.3360,0.0407,0
46,1,357.8233,364.7643,365.1172,0.1193,0
46,0,357.8233,364.7643,368.7164,0.0427,0
47,1,365.1804,372.2789,372.6450,0.1199,0
47,0,365.1804,372.2789,376.2303,0.0446,0
48,1,372.7139,379.5817,379.9401,0.1153,0
48,0,372.7139,379.5817,383.7463,0.0401,0
49,1,380.0124,386.9620,387.4304,0.1923,0
49,0,380.0124,386.9620,391.0893,0.0472,0
50,1,387.4984,393.9109,394.4351,0.2856,0
50,0,387.4984,393.9109,398.0241,0.1955,0
51,1,394.6511,401.6820,401.9873,0.1225,0
51,0,394.6511,401.6820,405.6217,0.0422,0
52,1,402.1255,409.2867,409.5852,0.1161,0
52,0,402.1255,409.2867,413.1725,0.0416,0
53,1,409.6447,415.7299,416.0817,0.1202,0
53,0,409.6447,415.7299,419.6405,0.0437,0
54,1,416.1457,423.4100,423.7144,0.1158,0
54,0,416.1457,423.4100,427.2939,0.0426,0
55,1,423.7752,429.8848,430.2194,0.1207,0
55,0,423.7752,429.8848,433.7577,0.2578,0
56,1,430.5234,437.7047,438.0390,0.1209,0
56,0,430.5234,437.7047,441.6625,0.0428,0
57,1,438.1063,444.8120,445.3033,0.2665,0
57,0,438.1063,444.8120,448.8745,0.0444,0
58,1,445.3674,452.3470,452.7516,0.1244,0
58,0,445.3674,452.3470,456.3011,0.0447,0
59,1,452.8155,459.7585,460.0964,0.1217,0
59,0,452.8155,459.7585,463.8056,0.0410,0
60,1,460.1551,467.5899,467.9550,0.1116,0
60,0,460.1551,467.5899,471.6248,0.0412,0
61,1,468.0200,474.7739,475.0650,0.1160,0
61,0,468.0200,474.7739,478.6532,0.0382,0
62,1,475.1507,482.3846,482.7484,0.1225,0
62,0,475.1507,482.3846,486.3643,0.0403,0
63,1,482.8078,489.5126,489.8056,0.1098,0
63,0,482.8078,489.5126,493.3981,0.0416,0
64,1,489.8673,496.6623,497.1293,0.1097,0
64,0,489.8673,496.6623,500.7200,0.0544,0
65,1,497.2110,504.3825,504.6864,0.1179,0
65,0,497.2110,504.3825,508.3002,0.0467,0
66,1,504.7524,511.6791,512.0155,0.1234,0
66,0,504.7524,511.6791,515.7370,0.0445,0
67,1,513.1113,520.0473,520.3616,0.1244,0
67,0,513.1113,520.0473,523.9599,0.0423,0
68,1,520.4987,527.4778,527.8342,0.1217,0
68,0,520.4987,527.4778,531.5050,0.0430,0
69,1,527.8974,535.8722,536.2004,0.1208,0
69,0,527.8974,535.8722,539.8880,0.0453,0
70,1,536.2764,543.6086,543.9952,0.1222,0
70,0,536.2764,543.6086,547.7104,0.0477,0
71,1,544.0711,551.7345,552.0505,0.1138,0
71,0,544.0711,551.7345,555.7908,0.0405,0
72,1,552.1168,559.6344,559.9425,0.1150,0
72,0,552.1168,559.6344,563.8246,0.0418,0
73,1,560.0062,567.9719,568.3005,0.1238,0
