frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
0,0,11.3300,19.7297,24.0848,3.2980,0
1,1,23.1899,29.3210,32.6319,3.0049,0
1,0,23.1899,29.3210,46.6673,0.0455,0
2,1,32.7185,37.7426,50.5448,3.2083,0
2,0,32.7185,37.7426,57.0890,2.1242,0
3,1,54.5683,61.9288,63.6749,0.3920,0
3,0,54.5683,61.9288,78.6421,0.0511,0
4,1,65.5815,71.2354,79.4054,0.0655,0
4,0,65.5815,71.2354,93.5202,0.0596,0
5,1,79.4888,84.3069,94.1127,0.0627,0
5,0,79.4888,84.3069,110.2415,0.0463,0
6,1,94.1848,99.1993,110.5554,0.0605,0
6,0,94.1848,99.1993,124.2761,0.0534,0
7,1,110.6401,115.9167,124.7008,0.0595,0
7,0,110.6401,115.9167,141.1956,0.0471,0
8,1,124.7699,130.1314,141.3850,0.0463,0
8,0,124.7699,130.1314,156.5800,0.0407,0
9,1,141.4527,146.7840,156.8382,0.0525,0
9,0,141.4527,146.7840,171.1284,0.0768,0
10,1,156.9380,162.0059,171.3493,0.0496,0
10,0,156.9380,162.0059,187.2659,0.0470,0
11,1,171.4320,176.5550,187.7280,0.2854,0
11,0,171.4320,176.5550,203.2875,0.0441,0
12,1,187.7931,193.2126,203.5662,0.1148,0
12,0,187.7931,193.2126,219.4083,0.0463,0
13,1,203.6332,209.0110,219.5932,0.0472,0
13,0,203.6332,209.0110,222.9556,0.7258,0
14,1,220.3483,225.3989,225.7882,0.1246,0
14,0,220.3483,225.3989,235.0780,0.2275,0
15,1,226.0388,231.4683,235.4524,0.2221,0
15,0,226.0388,231.4683,249.2410,0.0649,0
16,1,235.5430,240.4954,249.4481,0.0467,0
16,0,235.5430,240.4954,265.3211,0.0429,0
17,1,249.5275,255.1783,265.5139,0.0484,0
17,0,249.5275,255.1783,282.1688,0.0416,0
18,1,265.5818,271.0114,282.4350,0.0618,0
18,0,265.5818,271.0114,296.1738,0.0483,0
19,1,282.5097,288.0848,296.3660,0.0520,0
19,0,282.5097,288.0848,312.2924,0.0375,0
20,1,296.4340,301.2972,312.5172,0.0545,0
20,0,296.4340,301.2972,327.6325,0.0430,0
21,1,312.5904,318.0492,327.8518,0.0523,0
21,0,312.5904,318.0492,343.5403,0.0439,0
22,1,327.9251,332.6649,343.7323,0.0524,0
22,0,327.9251,332.6649,359.9315,0.0406,0
23,1,343.7972,348.5082,360.1209,0.0509,0
23,0,343.7972,348.5082,374.5125,0.0413,0
24,1,360.1860,364.9105,374.7901,0.0532,0
24,0,360.1860,364.9105,391.1733,0.0533,0
25,1,374.8810,379.8209,391.4164,0.0514,0
25,0,374.8810,379.8209,406.2021,0.0497,0
26,1,391.4907,396.5112,406.5848,0.0493,0
