frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
0,0,10.1667,24.2328,26.5247,1.6849,0
1,1,25.9677,41.9943,42.7239,0.6386,0
1,0,25.9677,41.9943,51.6934,0.4094,0
2,1,43.4725,61.2997,61.9036,0.4954,0
2,0,43.4725,61.2997,70.9170,0.3048,0
3,1,62.2974,78.0614,79.7399,1.6152,0
3,0,62.2974,78.0614,88.7261,0.4309,0
4,1,80.2285,95.8095,97.4843,1.6154,0
4,0,80.2285,95.8095,106.4182,0.1993,0
5,1,97.7455,113.0481,114.6383,0.2366,0
5,0,97.7455,113.0481,124.5759,1.4469,0
6,1,116.1420,131.0044,134.3850,0.1977,0
6,0,116.1420,131.0044,144.5678,1.4713,0
7,1,135.9104,149.4358,154.6162,1.6375,0
7,0,135.9104,149.4358,164.5919,1.4294,0
8,1,156.1017,169.4704,174.6482,1.6068,0
8,0,156.1017,169.4704,184.6508,1.4407,0
9,1,176.1688,188.7255,194.5728,1.6066,0
9,0,176.1688,188.7255,204.4521,1.4444,0
10,1,196.0725,208.6007,214.3704,1.6289,0
10,0,196.0725,208.6007,224.4270,1.4901,0
11,1,215.9077,228.5094,234.4070,1.6253,0
11,0,215.9077,228.5094,244.4847,1.4678,0
12,1,235.9270,248.7405,254.3892,1.6275,0
12,0,235.9270,248.7405,264.4289,1.4622,0
13,1,255.9057,268.8957,274.3601,1.6374,0
13,0,255.9057,268.8957,284.4032,1.4958,0
14,1,275.9029,289.0233,294.3501,1.6221,0
14,0,275.9029,289.0233,304.4349,1.4878,0
15,1,295.8832,309.1977,314.3820,1.6215,0
15,0,295.8832,309.1977,324.4252,1.4642,0
16,1,315.8951,329.4022,334.3535,1.6281,0
16,0,315.8951,329.4022,344.3871,1.4847,0
17,1,335.8852,349.4117,354.3597,1.6096,0
17,0,335.8852,349.4117,364.4027,1.4664,0
18,1,355.8723,369.3478,374.4167,1.6244,0
18,0,355.8723,369.3478,384.4407,1.4666,0
19,1,375.9358,389.4819,394.3593,1.6138,0
19,0,375.9358,389.4819,404.4242,1.4878,0
20,1,395.8951,409.4544,414.3478,1.6135,0
20,0,395.8951,409.4544,424.4065,1.4763,0
21,1,415.8690,429.4023,434.3883,1.6172,0
21,0,415.8690,429.4023,444.4003,1.4785,0
22,1,435.9179,449.5552,454.3524,1.6221,0
22,0,435.9179,449.5552,464.3954,1.4927,0
23,1,455.8948,469.4442,474.3764,1.6197,0
23,0,455.8948,469.4442,484.4165,1.4597,0
24,1,475.8850,491.0937,495.0761,0.3625,0
24,0,475.8850,491.0937,505.0395,1.3238,0
25,1,496.4892,512.8288,514.5861,0.2583,0
25,0,496.4892,512.8288,524.6161,1.4557,0
26,1,516.2284,531.4681,534.3461,0.1834,0
26,0,516.2284,531.4681,544.7802,1.4923,0
27,1,535.8910,549.5876,554.6796,1.6904,0
27,0,535.8910,549.5876,564.5822,1.4254,0
28,1,556.1689,570.2230,574.3538,1.6135,0
28,0,556.1689,570.2230,584.3860,1.4892,0
29,1,575.8936,588.7377,594.3996,1.6121,0
29,0,575.8936,588.7377,604.5916,1.4795,0
30,1,595.9393,608.9054,615.2819,1.6130,0
30,0,595.9393,608.9054,625.1824,1.2251,0
31,1,616.5822,629.7454,634.4511,2.0632,0
31,0,616.5822,629.7454,644.4824,1.4614,0
32,1,635.9667,649.2550,654.4602,1.6284,0
32,0,635.9667,649.2550,664.4490,1.4705,0
33,1,655.9831,669.4472,674.3931,1.6445,0
33,0,655.9831,669.4472,684.5281,1.4688,0
34,1,675.9138,689.5999,694.3818,1.6465,0
34,0,675.9138,689.5999,704.4386,1.4791,0
35,1,695.9114,709.8349,714.3826,1.6492,0
35,0,695.9114,709.8349,724.4426,1.4927,0
36,1,715.9247,730.0382,734.3680,1.7773,0
36,0,715.9247,730.0382,745.3220,1.4762,0
37,1,735.8938,750.0689,755.1061,1.5721,0
37,0,735.8938,750.0689,765.1240,1.2868,0
38,1,756.4811,773.2736,774.5751,0.2611,0
38,0,756.4811,773.2736,784.7322,1.4586,0
39,1,776.0992,790.4877,794.5079,1.6160,0
39,0,776.0992,790.4877,804.5132,1.4671,0
40,1,796.0343,810.4074,814.6339,1.5950,0
40,0,796.0343,810.4074,824.6374,1.4491,0
41,1,816.1551,830.6727,834.5348,1.5991,0
41,0,816.1551,830.6727,844.5774,1.4567,0
42,1,836.0624,850.6319,854.3871,1.6170,0
42,0,836.0624,850.6319,864.5072,1.4598,0
43,1,855.8927,870.4024,874.4640,1.4208,0
43,0,855.8927,870.4024,884.6400,1.2775,0
44,1,875.7895,891.7735,894.6494,0.2667,0
44,0,875.7895,891.7735,904.7344,1.2072,0
45,1,895.9078,911.7222,914.3944,0.1825,0
45,0,895.9078,911.7222,924.4645,1.2873,0
46,1,915.7256,930.8226,934.7314,0.2102,0
46,0,915.7256,930.8226,944.7654,1.2193,0
47,1,936.0158,949.0415,954.3875,1.4096,0
47,0,936.0158,949.0415,964.4580,1.2775,0
48,1,955.7164,968.0610,974.3726,1.4217,0
48,0,955.7164,968.0610,984.4629,1.2829,0
49,1,975.7021,987.1709,994.8075,1.4059,0
49,0,975.7021,987.1709,1004.7347,1.1466,0
50,1,996.0144,1007.2811,1014.3972,1.4116,0
50,0,996.0144,1007.2811,1024.4437,1.2617,0
51,1,1015.7114,1026.9453,1034.3755,1.4135,0
51,0,1015.7114,1026.9453,1044.4978,1.2810,0
52,1,1035.8308,1047.1270,1054.5199,1.4033,0
52,0,1035.8308,1047.1270,1064.7692,1.2647,0
53,1,1055.8416,1067.4923,1074.8013,1.2506,0
53,0,1055.8416,1067.4923,1084.7464,1.0334,0
54,1,1075.9068,1087.7631,1094.3402,1.2455,0
54,0,1075.9068,1087.7631,1104.4589,0.9771,0
55,1,1095.3683,1107.4968,1114.5334,1.1096,0
55,0,1095.3683,1107.4968,1124.4929,0.9644,0
56,1,1115.5544,1128.0998,1134.3083,1.1237,0
56,0,1115.5544,1128.0998,1144.3456,0.9933,0
57,1,1135.3525,1148.0322,1154.3028,1.1306,0
57,0,1135.3525,1148.0322,1164.3465,1.0006,0
58,1,1155.3482,1167.9057,1174.2874,1.1316,0
58,0,1155.3482,1167.9057,1184.4164,1.0141,0
59,1,1175.3457,1187.8495,1194.3217,1.1322,0
59,0,1175.3457,1187.8495,1204.3589,1.0074,0
60,1,1195.3766,1207.9297,1214.3074,1.1388,0
60,0,1195.3766,1207.9297,1224.4143,1.0078,0
61,1,1215.3595,1227.8737,1234.3086,1.1355,0
61,0,1215.3595,1227.8737,1244.3763,1.0016,0
62,1,1235.3550,1247.8732,1254.3509,1.1334,0
62,0,1235.3550,1247.8732,1264.4021,1.0001,0
63,1,1255.3980,1267.9455,1274.3001,1.1380,0
63,0,1255.3980,1267.9455,1284.3744,1.0116,0
64,1,1275.3558,1287.9011,1294.4349,1.1358,0
64,0,1275.3558,1287.9011,1304.5796,0.9938,0
65,1,1295.4827,1308.0910,1314.5729,1.1362,0
65,0,1295.4827,1308.0910,1324.5961,0.9382,0
66,1,1315.5686,1329.4406,1334.4607,0.2128,0
66,0,1315.5686,1329.4406,1344.5502,0.9824,0
67,1,1335.4968,1348.2888,1354.3057,1.1387,0
67,0,1335.4968,1348.2888,1364.3626,1.0091,0
68,1,1355.3665,1367.9717,1374.3483,1.1378,0
68,0,1355.3665,1367.9717,1384.3627,1.0014,0
69,1,1375.4011,1387.3638,1394.2954,1.1354,0
69,0,1375.4011,1387.3638,1404.3409,1.0109,0
70,1,1395.3533,1407.1423,1414.2970,1.1406,0
70,0,1395.3533,1407.1423,1424.3661,1.0139,0
71,1,1415.3574,1427.2722,1434.3435,1.1394,0
71,0,1415.3574,1427.2722,1444.3630,1.0025,0
72,1,1435.3961,1447.5830,1454.3069,1.1421,0
72,0,1435.3961,1447.5830,1464.3475,1.0119,0
73,1,1455.3657,1467.6084,1474.2954,1.1421,0
73,0,1455.3657,1467.6084,1484.3635,1.0169,0
74,1,1475.3574,1487.7458,1494.6641,1.3170,0
74,0,1475.3574,1487.7458,1504.6813,1.0818,0
75,1,1495.8040,1508.4321,1514.3351,1.2614,0
75,0,1495.8040,1508.4321,1524.3836,1.1366,0
76,1,1515.5180,1528.2284,1534.2948,1.2604,0
76,0,1515.5180,1528.2284,1544.3333,1.0114,0
77,1,1535.3520,1548.0661,1554.2934,1.1359,0
77,0,1535.3520,1548.0661,1564.4156,1.0094,0
78,1,1555.4826,1568.2088,1574.3065,1.1404,0
78,0,1555.4826,1568.2088,1584.6654,0.9992,0
79,1,1575.3591,1588.2244,1594.7928,1.2451,0
79,0,1575.3591,1588.2244,1604.8262,1.0297,0
80,1,1595.8965,1608.8064,1614.4410,1.2515,0
80,0,1595.8965,1608.8064,1624.4988,0.9944,0
81,1,1615.4925,1628.2610,1634.5035,1.1287,0
81,0,1615.4925,1628.2610,1644.5457,0.9706,0
82,1,1635.5389,1648.4366,1654.4995,1.1328,0
82,0,1635.5389,1648.4366,1664.5467,0.9768,0
83,1,1655.5356,1668.2881,1674.5929,1.1281,0
83,0,1655.5356,1668.2881,1684.6355,0.9619,0
84,1,1675.6202,1689.5432,1694.6164,0.2276,0
84,0,1675.6202,1689.5432,1704.7067,0.9711,0
85,1,1695.6508,1709.5449,1714.3740,0.2139,0
85,0,1695.6508,1709.5449,1724.4946,1.0087,0
86,1,1715.4467,1729.4542,1734.3134,0.1921,0
86,0,1715.4467,1729.4542,1744.5787,1.0031,0
87,1,1735.3659,1748.2397,1754.3834,1.1223,0
87,0,1735.3659,1748.2397,1764.3938,0.9921,0
88,1,1755.4282,1768.2000,1774.3234,1.1345,0
88,0,1755.4282,1768.2000,1784.3575,1.0053,0
89,1,1775.3729,1787.3534,1794.3072,1.1339,0
89,0,1775.3729,1787.3534,1804.5055,1.0059,0
90,1,1795.3624,1807.4554,1814.3182,1.1300,0
90,0,1795.3624,1807.4554,1824.4700,1.0003,0
91,1,1815.3706,1827.4789,1834.3118,1.1363,0
91,0,1815.3706,1827.4789,1844.3511,1.0077,0
92,1,1835.3669,1847.6547,1854.3027,1.1335,0
92,0,1835.3669,1847.6547,1864.3416,1.0130,0
93,1,1855.3632,1867.8075,1874.3313,1.1361,0
93,0,1855.3632,1867.8075,1884.3704,1.0041,0
94,1,1875.3882,1888.0682,1894.3090,1.1301,0
94,0,1875.3882,1888.0682,1904.3383,1.0058,0
95,1,1895.3620,1908.1917,1914.3214,1.1365,0
95,0,1895.3620,1908.1917,1924.3488,0.9914,0
96,1,1915.3591,1928.4029,1934.3711,1.1333,0
96,0,1915.3591,1928.4029,1944.4099,0.9982,0
97,1,1935.4188,1948.5373,1954.3034,1.1349,0
97,0,1935.4188,1948.5373,1964.3777,1.0103,0
98,1,1955.4227,1968.4787,1974.3055,1.1298,0
98,0,1955.4227,1968.4787,1984.3447,1.0079,0
