run,label,load,presented_fps,rendered_fps,interval_mean,interval_std,interval_p1,interval_p50,interval_p99,gen_to_real,real_to_gen,latency_real,latency_real_p99,latency_gen,gpu_wait,gpu_total,caught_up
nofg-L0,bez FG,0,976.7115,976.7115,1.0238,0.2590,0.8255,0.9680,1.5990,nan,nan,1.2199,1.9301,nan,0.1743,0.3930,0
immediate-L0,"FG, odmah",0,1047.5604,523.7171,0.9546,0.7013,0.1916,1.2601,2.0959,0.2710,1.6384,2.0713,2.6889,1.8003,0.1505,0.9350,0
paced-L0,"FG, ravnomjerno",0,1121.7860,560.8298,0.8914,0.1835,0.6789,0.8190,1.4643,0.8150,0.9679,2.4494,3.0954,1.6344,0.1370,0.9220,0
nofg-L4,bez FG,4,357.1762,357.1762,2.7997,0.3864,2.2452,2.7799,3.6368,nan,nan,2.9841,3.8608,nan,0.2535,1.7500,0
immediate-L4,"FG, odmah",4,542.9011,271.3870,1.8420,1.5613,0.2057,1.7713,4.1756,0.3083,3.3763,3.8348,4.9384,3.5264,0.1288,2.5930,0
paced-L4,"FG, ravnomjerno",4,543.0924,271.4827,1.8413,0.2284,1.4429,1.8184,2.5712,1.7387,1.9440,5.3180,6.2206,3.5793,0.1312,2.8770,0
nofg-L8,bez FG,8,233.1327,233.1327,4.2894,0.3999,3.5017,4.2896,5.2005,nan,nan,4.4680,5.3470,nan,0.1526,3.5590,0
immediate-L8,"FG, odmah",8,384.9646,192.4185,2.5976,2.3839,0.1832,0.6059,5.8349,0.2317,4.9652,5.3448,6.2668,5.1131,0.0943,4.2940,0
paced-L8,"FG, ravnomjerno",8,374.3840,187.1281,2.6711,0.2838,2.1463,2.6751,3.4933,2.5760,2.7662,7.8129,8.9705,5.2369,0.1146,4.3860,0
nofg-L12,bez FG,12,182.5424,182.5424,5.4782,0.5398,4.4776,5.5198,6.5456,nan,nan,5.6552,6.7088,nan,0.1389,4.9790,0
immediate-L12,"FG, odmah",12,310.9017,155.3868,3.2165,3.0137,0.1836,0.5511,7.2040,0.2262,6.2091,6.5756,7.6349,6.3493,0.0911,5.5890,0
paced-L12,"FG, ravnomjerno",12,300.7789,150.3253,3.3247,0.3483,2.5394,3.3659,4.2434,3.2444,3.4050,9.7870,11.1023,6.5426,0.1168,5.8930,0
nofg-L16,bez FG,16,146.6897,146.6897,6.8171,0.6701,5.4916,6.8867,8.1289,nan,nan,6.9910,8.2896,nan,0.1362,6.3200,0
immediate-L16,"FG, odmah",16,265.1631,132.5172,3.7713,3.5789,0.1842,0.5762,8.5125,0.2259,7.3200,7.6821,8.9315,7.4561,0.0928,6.9600,0
paced-L16,"FG, ravnomjerno",16,256.4785,128.1749,3.8990,0.4429,3.0852,3.9580,5.0384,3.8197,3.9783,11.5045,13.3588,7.6848,0.1183,7.3510,0
nofg-L24,bez FG,24,110.4398,110.4398,9.0547,0.9716,7.4442,9.2030,10.6836,nan,nan,9.2303,10.8562,nan,0.1403,9.0670,0
immediate-L24,"FG, odmah",24,200.1903,100.0303,4.9952,4.8213,0.1845,0.5521,11.4122,0.2273,9.7694,10.1279,11.8211,9.9007,0.0943,9.6360,0
paced-L24,"FG, ravnomjerno",24,189.6980,94.7841,5.2715,0.5792,4.1856,5.3375,6.5121,5.2000,5.3432,15.6446,18.0237,10.4446,0.1007,10.3480,0
paced-flush-L12,FG ravnomjerno + glFlush po fazi,12,323.5096,161.6908,3.0911,0.3627,2.4791,3.0746,4.1982,3.0234,3.1589,9.0991,10.7193,6.0757,0.1147,5.9610,0
paced-finish-L12,FG ravnomjerno + glFinish po fazi,12,259.8948,129.8830,3.8477,0.3173,3.0996,3.9050,4.6463,3.7935,3.9020,11.3940,12.6054,7.6005,0.0952,6.9900,0
nofg-vsync-L12,"bez FG, vsync",12,182.6210,182.6210,5.4758,0.5356,4.5165,5.5531,6.5881,nan,nan,5.6781,6.7629,nan,0.1395,4.9660,0
paced-vsync-L12,"FG ravnomjerno, vsync",12,300.5230,150.1974,3.3275,0.3768,2.5456,3.3647,4.2599,3.2624,3.3927,9.8086,11.1513,6.5462,0.1161,5.9320,0
nofg-vsync-L24,"bez FG, vsync",24,110.5563,110.5563,9.0452,0.9560,7.4603,9.1676,10.6142,nan,nan,9.2446,10.7924,nan,0.1396,8.9950,0
paced-vsync-L24,"FG ravnomjerno, vsync",24,189.2016,94.5359,5.2854,0.5741,4.2168,5.3362,6.4619,5.2304,5.3404,15.7024,17.9787,10.4720,0.0995,10.3620,0
